== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  dna          byte      ee       8     0.7637s     0.0164s     0.7482s     0.7815s      1340.9
  dna          byte      ee      16     0.5569s     0.0102s     0.5448s     0.5662s      1838.7
  dna          byte      ee      24     0.5268s     0.0110s     0.5162s     0.5452s      1943.7
  dna          bit       plain  ent    18.1481s     0.0968s    18.0445s    18.2952s        56.4
  dna          bit       plain    1     0.1387s     0.0009s     0.1380s     0.1401s      7384.1
  dna          bit       plain    2     0.1118s     0.0019s     0.1088s     0.1135s      9156.8
  dna          bit       plain    4     0.0707s     0.0004s     0.0702s     0.0712s     14489.7
  dna          bit       plain    8     0.0570s     0.0039s     0.0503s     0.0604s     17965.0
  dna          bit       plain   16     0.0521s     0.0011s     0.0503s     0.0533s     19643.9
  dna          bit       plain   24     0.0508s     0.0010s     0.0496s     0.0523s     20167.6
  dna          bit       e        1     3.0024s     0.0170s     2.9886s     3.0262s       341.1
  dna          bit       e        2     1.5669s     0.0032s     1.5624s     1.5708s       653.5
  dna          bit       e        4     0.8428s     0.0062s     0.8337s     0.8485s      1215.0
  dna          bit       e        8     0.4654s     0.0047s     0.4619s     0.4734s      2200.4
  dna          bit       e       16     0.3537s     0.0043s     0.3467s     0.3583s      2895.0
  dna          bit       e       24     0.3337s     0.0091s     0.3220s     0.3419s      3068.8
  dna          bit       ee       1     5.9599s     0.0163s     5.9403s     5.9825s       171.8
  dna          bit       ee       2     3.0615s     0.0056s     3.0549s     3.0670s       334.5
  dna          bit       ee       4     1.6154s     0.0081s     1.6076s     1.6246s       633.9
  dna          bit       ee       8     0.8764s     0.0164s     0.8630s     0.9022s      1168.4
  dna          bit       ee      16     0.6485s     0.0070s     0.6387s     0.6576s      1579.0
  dna          bit       ee      24     0.6071s     0.0057s     0.6005s     0.6133s      1686.7
  dna          byte-fold plain  ent    10.8787s     0.0381s    10.8479s    10.9363s        94.1
  dna          byte-fold plain    1     0.4159s     0.0153s     0.4035s     0.4339s      2462.4
  dna          byte-fold plain    2     0.2480s     0.0035s     0.2437s     0.2534s      4129.7
  dna          byte-fold plain    4     0.1422s     0.0031s     0.1389s     0.1464s      7200.4
  dna          byte-fold plain    8     0.0900s     0.0042s     0.0856s     0.0968s     11375.6
  dna          byte-fold plain   16     0.0708s     0.0043s     0.0659s     0.0777s     14473.0
  dna          byte-fold plain   24     0.0677s     0.0061s     0.0596s     0.0758s     15114.7
  dna          byte-fold e        1     3.2623s     0.0221s     3.2491s     3.3013s       313.9
  dna          byte-fold e        2     1.7115s     0.0064s     1.7027s     1.7198s       598.3
  dna          byte-fold e        4     0.9084s     0.0054s     0.9033s     0.9167s      1127.3
  dna          byte-fold e        8     0.5081s     0.0110s     0.4990s     0.5205s      2015.3
  dna          byte-fold e       16     0.3797s     0.0105s     0.3701s     0.3941s      2696.9
  dna          byte-fold e       24     0.3613s     0.0067s     0.3542s     0.3697s      2833.9
  dna          byte-fold ee       1     4.8433s     0.0865s     4.7342s     4.9200s       211.4
  dna          byte-fold ee       2     2.5807s     0.0185s     2.5654s     2.6104s       396.8
  dna          byte-fold ee       4     1.3621s     0.0053s     1.3552s     1.3692s       751.8
  dna          byte-fold ee       8     0.7468s     0.0055s     0.7382s     0.7534s      1371.1
  dna          byte-fold ee      16     0.5606s     0.0126s     0.5456s     0.5742s      1826.5
  dna          byte-fold ee      24     0.5378s     0.0118s     0.5251s     0.5555s      1904.1
  dna          fips      -        1     3.1164s     0.0064s     3.1111s     3.1239s       328.6
  dna          fips      -        2     1.6231s     0.0012s     1.6216s     1.6247s       630.9
  dna          fips      -        4     0.8579s     0.0031s     0.8543s     0.8618s      1193.7
  dna          fips      -        8     0.4577s     0.0016s     0.4558s     0.4601s      2237.2
  dna          fips      -       16     0.3628s     0.0081s     0.3517s     0.3735s      2822.8
  dna          fips      -       24     0.3263s     0.0131s     0.3167s     0.3486s      3138.1
  ascii        byte      plain  ent     8.3405s     0.0217s     8.3117s     8.3669s       122.8
  ascii        byte      plain    1     0.3123s     0.0009s     0.3112s     0.3133s      3279.2
  ascii        byte      plain    2     0.2017s     0.0041s     0.1997s     0.2090s      5077.8
